Nummer	lastpage	startdate
174	6	2014-12-02T23:39:15
175	4	2014-12-02T23:41:38
176	6	2014-12-02T23:49:35
177	6	2014-12-02T23:50:31
178	6	2014-12-02T23:59:31
179	6	2014-12-03T00:03:35
180	6	2014-12-03T00:07:53
181	6	2014-12-03T00:12:54
182	6	2014-12-03T02:01:48
183	6	2014-12-03T02:11:56
184	1	2014-12-03T03:33:56
185	6	2014-12-03T05:39:17
186	6	2014-12-03T05:39:17
187	6	2014-12-03T05:39:17
188	5	2014-12-03T07:52:08
189	6	2014-12-03T08:11:35
190	0	2014-12-03T08:25:35
191	0	2014-12-03T08:41:53
192	6	2014-12-03T09:07:32
193	6	2014-12-03T09:08:50
194	5	2014-12-03T09:13:37
195	1	2014-12-03T09:29:07
196	6	2014-12-03T09:49:02
197	1	2014-12-03T10:14:38
198	6	2014-12-03T10:20:33
199	6	2014-12-03T10:44:10
200	5	2014-12-03T10:52:17
201	6	2014-12-03T10:55:38
202	1	2014-12-03T10:57:32
203	6	2014-12-03T11:00:44
204	0	2014-12-03T11:02:46
205	6	2014-12-03T11:12:22
206	1	2014-12-03T11:37:01
207	6	2014-12-03T11:39:00
208	6	2014-12-03T11:59:04
209	6	2014-12-03T12:05:14
210	6	2014-12-03T12:29:16
211	6	2014-12-03T13:27:47
212	6	2014-12-03T13:28:04
213	2	2014-12-03T14:23:12
214	2	2014-12-03T14:23:12
215	6	2014-12-03T14:27:53
216	6	2014-12-03T14:27:53
217	6	2014-12-03T16:16:15
218	6	2014-12-03T16:49:48
219	0	2014-12-03T16:54:49
220	6	2014-12-03T17:00:51
221	6	2014-12-03T17:21:18
222	6	2014-12-03T17:29:33
223	6	2014-12-03T17:37:24
224	2	2014-12-03T17:43:45
225	2	2014-12-03T17:43:45
226	2	2014-12-03T17:43:45
227	2	2014-12-03T17:48:06
228	2	2014-12-03T17:48:06
229	2	2014-12-03T17:48:06
230	6	2014-12-03T17:49:53
231	6	2014-12-03T17:49:53
232	6	2014-12-03T17:49:53
233	4	2014-12-03T17:54:54
234	6	2014-12-03T18:30:36
235	4	2014-12-03T18:58:21
236	6	2014-12-03T18:58:22
237	1	2014-12-03T18:58:24
238	1	2014-12-03T18:58:26
239	1	2014-12-03T18:58:26
240	1	2014-12-03T18:58:27
241	0	2014-12-03T18:58:28
242	6	2014-12-03T18:58:28
243	0	2014-12-03T18:58:29
244	0	2014-12-03T18:58:29
245	0	2014-12-03T18:58:30
246	0	2014-12-03T18:58:34
247	6	2014-12-03T18:58:35
248	6	2014-12-03T18:58:36
249	6	2014-12-03T18:58:37
250	3	2014-12-03T18:58:38
251	6	2014-12-03T18:58:40
252	2	2014-12-03T18:58:41
253	2	2014-12-03T19:00:11
254	2	2014-12-03T19:00:11
255	6	2014-12-03T18:58:42
256	6	2014-12-03T18:58:43
257	6	2014-12-03T18:58:44
258	6	2014-12-03T18:58:47
259	2	2014-12-03T18:58:50
260	6	2014-12-03T18:58:50
261	6	2014-12-03T18:58:54
262	6	2014-12-03T18:58:55
263	6	2014-12-03T18:58:55
264	6	2014-12-03T18:58:55
265	6	2014-12-03T18:58:56
266	5	2014-12-03T18:58:58
267	0	2014-12-03T18:58:58
268	0	2014-12-03T18:58:58
269	6	2014-12-03T18:58:59
270	0	2014-12-03T18:59:00
271	3	2014-12-03T18:59:01
272	6	2014-12-03T18:59:03
273	6	2014-12-03T18:59:03
274	6	2014-12-03T18:59:03
275	4	2014-12-03T18:59:03
276	6	2014-12-03T18:59:06
277	6	2014-12-03T18:59:08
278	6	2014-12-03T18:59:08
279	1	2014-12-03T19:00:54
280	1	2014-12-03T19:00:54
281	1	2014-12-03T19:00:54
282	6	2014-12-03T18:59:09
283	1	2014-12-03T18:59:09
284	6	2014-12-03T18:59:10
285	6	2014-12-03T18:59:11
286	6	2014-12-03T18:59:12
287	6	2014-12-03T18:59:12
288	6	2014-12-03T18:59:12
289	2	2014-12-03T18:59:12
290	6	2014-12-03T18:59:13
291	6	2014-12-03T18:59:14
292	1	2014-12-03T18:59:15
293	1	2014-12-03T18:59:15
294	6	2014-12-03T18:59:15
295	6	2014-12-03T18:59:17
296	6	2014-12-03T18:59:19
297	6	2014-12-03T18:59:19
298	6	2014-12-03T18:59:22
299	6	2014-12-03T18:59:23
300	3	2014-12-03T18:59:23
301	6	2014-12-03T18:59:23
302	6	2014-12-03T18:59:23
303	6	2014-12-03T18:59:23
304	1	2014-12-03T18:59:24
305	6	2014-12-03T18:59:25
306	6	2014-12-03T18:59:26
307	6	2014-12-03T18:59:26
308	6	2014-12-03T18:59:26
309	6	2014-12-03T18:59:26
310	6	2014-12-03T18:59:28
311	6	2014-12-03T18:59:28
312	6	2014-12-03T18:59:31
313	4	2014-12-03T18:59:37
314	6	2014-12-03T18:59:40
315	6	2014-12-03T18:59:41
316	6	2014-12-03T18:59:41
317	0	2014-12-03T18:59:45
318	0	2014-12-03T18:59:45
319	5	2014-12-03T18:59:46
320	5	2014-12-03T18:59:46
321	1	2014-12-03T18:59:48
322	6	2014-12-03T18:59:48
323	6	2014-12-03T18:59:49
324	6	2014-12-03T18:59:55
325	6	2014-12-03T19:00:01
326	0	2014-12-03T19:00:02
327	6	2014-12-03T19:00:03
328	6	2014-12-03T19:00:05
329	6	2014-12-03T19:00:05
330	6	2014-12-03T19:00:12
331	6	2014-12-03T19:00:12
332	6	2014-12-03T19:00:12
333	6	2014-12-03T19:00:13
334	6	2014-12-03T19:00:16
335	6	2014-12-03T19:00:32
336	6	2014-12-03T19:00:46
337	6	2014-12-03T19:00:48
338	6	2014-12-03T19:00:48
339	6	2014-12-03T19:00:59
340	6	2014-12-03T19:01:03
341	6	2014-12-03T19:01:12
342	6	2014-12-03T19:01:12
343	6	2014-12-03T19:01:19
344	6	2014-12-03T19:01:19
345	6	2014-12-03T19:01:19
346	0	2014-12-03T19:01:27
347	0	2014-12-03T19:01:27
348	3	2014-12-03T19:01:29
349	3	2014-12-03T19:01:29
350	6	2014-12-03T19:01:42
351	6	2014-12-03T19:01:42
352	6	2014-12-03T19:02:07
353	6	2014-12-03T19:02:07
354	6	2014-12-03T19:02:07
355	6	2014-12-03T19:02:16
356	0	2014-12-03T19:02:18
357	6	2014-12-03T19:02:23
358	6	2014-12-03T19:02:25
359	6	2014-12-03T19:02:30
360	6	2014-12-03T19:02:48
361	6	2014-12-03T19:02:50
362	6	2014-12-03T19:02:53
363	6	2014-12-03T19:03:14
364	6	2014-12-03T19:03:19
365	1	2014-12-03T19:03:46
366	1	2014-12-03T19:03:46
367	6	2014-12-03T19:04:31
368	1	2014-12-03T19:04:43
369	6	2014-12-03T19:04:44
370	6	2014-12-03T19:05:11
371	6	2014-12-03T19:05:28
372	6	2014-12-03T19:05:47
373	6	2014-12-03T19:06:07
374	6	2014-12-03T19:06:11
375	6	2014-12-03T19:06:32
376	6	2014-12-03T19:06:46
377	1	2014-12-03T19:06:54
378	0	2014-12-03T19:07:02
379	6	2014-12-03T19:07:25
380	6	2014-12-03T19:07:39
381	6	2014-12-03T19:07:58
382	6	2014-12-03T19:08:32
383	-1	2014-12-03T19:08:45
384	6	2014-12-03T19:08:49
385	6	2014-12-03T19:08:52
386	6	2014-12-03T19:09:04
387	6	2014-12-03T19:09:08
388	6	2014-12-03T19:09:09
389	1	2014-12-03T19:09:23
390	6	2014-12-03T19:09:53
391	2	2014-12-03T19:10:32
392	2	2014-12-03T19:10:32
393	6	2014-12-03T19:10:38
394	6	2014-12-03T19:10:44
395	6	2014-12-03T19:11:02
396	6	2014-12-03T19:11:30
397	0	2014-12-03T19:11:39
398	1	2014-12-03T19:11:49
399	1	2014-12-03T19:11:49
400	5	2014-12-03T19:11:58
401	6	2014-12-03T19:12:15
402	6	2014-12-03T19:13:13
403	6	2014-12-03T19:13:36
404	6	2014-12-03T19:13:55
405	6	2014-12-03T19:14:36
406	6	2014-12-03T19:14:52
407	6	2014-12-03T19:14:59
408	6	2014-12-03T19:16:21
409	6	2014-12-03T19:16:26
410	6	2014-12-03T19:16:33
411	3	2014-12-03T19:16:40
412	0	2014-12-03T19:16:52
413	0	2014-12-03T19:16:52
414	6	2014-12-03T19:17:07
415	6	2014-12-03T19:17:11
416	6	2014-12-03T19:17:11
417	6	2014-12-03T19:17:11
418	6	2014-12-03T19:17:33
419	6	2014-12-03T19:17:33
420	6	2014-12-03T19:17:56
421	0	2014-12-03T19:17:59
422	6	2014-12-03T19:18:02
423	6	2014-12-03T19:18:15
424	6	2014-12-03T19:18:43
425	6	2014-12-03T19:19:00
426	1	2014-12-03T19:19:25
427	1	2014-12-03T19:19:25
428	1	2014-12-03T19:19:25
429	6	2014-12-03T19:19:34
430	6	2014-12-03T19:19:44
431	6	2014-12-03T19:19:55
432	0	2014-12-03T19:20:10
433	6	2014-12-03T19:20:11
434	6	2014-12-03T19:20:24
435	6	2014-12-03T19:20:24
436	1	2014-12-03T19:21:24
437	1	2014-12-03T19:22:15
438	6	2014-12-03T19:22:31
439	2	2014-12-03T19:23:06
440	2	2014-12-03T19:23:06
441	6	2014-12-03T19:24:12
442	6	2014-12-03T19:24:23
443	1	2014-12-03T19:24:24
444	4	2014-12-03T19:24:35
445	2	2014-12-03T19:24:44
446	6	2014-12-03T19:25:16
447	6	2014-12-03T19:25:36
448	6	2014-12-03T19:25:36
449	6	2014-12-03T19:25:40
450	6	2014-12-03T19:26:22
451	6	2014-12-03T19:26:22
452	6	2014-12-03T19:26:22
453	6	2014-12-03T19:27:02
454	6	2014-12-03T19:30:12
455	6	2014-12-03T19:30:37
456	6	2014-12-03T19:30:46
457	3	2014-12-03T19:31:51
458	0	2014-12-03T19:32:28
459	0	2014-12-03T19:32:28
460	2	2014-12-03T19:33:31
461	2	2014-12-03T19:33:31
462	6	2014-12-03T19:33:46
463	6	2014-12-03T19:34:53
464	6	2014-12-03T19:36:26
465	6	2014-12-03T19:38:21
466	6	2014-12-03T19:38:43
467	6	2014-12-03T19:38:43
468	6	2014-12-03T19:39:45
469	6	2014-12-03T19:40:47
470	0	2014-12-03T19:41:01
471	0	2014-12-03T19:41:31
472	2	2014-12-03T19:41:34
473	0	2014-12-03T19:43:06
474	6	2014-12-03T19:43:07
475	6	2014-12-03T19:44:48
476	6	2014-12-03T19:45:31
477	6	2014-12-03T19:46:22
478	3	2014-12-03T19:46:41
479	6	2014-12-03T19:47:27
480	6	2014-12-03T19:49:11
481	6	2014-12-03T19:50:32
482	6	2014-12-03T19:50:40
483	0	2014-12-03T19:50:43
484	0	2014-12-03T19:50:43
485	0	2014-12-03T19:50:43
486	6	2014-12-03T19:51:07
487	6	2014-12-03T19:54:10
488	0	2014-12-03T19:55:19
489	0	2014-12-03T19:55:19
490	6	2014-12-03T19:55:37
491	6	2014-12-03T19:55:37
492	0	2014-12-03T20:03:18
493	6	2014-12-03T19:56:14
494	6	2014-12-03T19:56:24
495	5	2014-12-03T19:57:28
496	6	2014-12-03T19:59:25
497	6	2014-12-03T19:59:25
498	6	2014-12-03T20:00:52
499	0	2014-12-03T20:01:37
500	6	2014-12-03T20:07:31
501	6	2014-12-03T20:07:40
502	6	2014-12-03T20:07:40
503	6	2014-12-03T20:08:21
504	6	2014-12-03T20:08:53
505	6	2014-12-03T20:08:53
506	6	2014-12-03T20:08:56
507	6	2014-12-03T20:09:33
508	0	2014-12-03T20:09:43
509	0	2014-12-03T20:09:43
510	6	2014-12-03T20:09:54
511	6	2014-12-03T20:10:33
512	6	2014-12-03T20:11:02
513	6	2014-12-03T20:11:11
514	6	2014-12-03T20:12:58
515	6	2014-12-03T20:16:45
516	6	2014-12-03T20:16:46
517	6	2014-12-03T20:17:20
518	6	2014-12-03T20:20:27
519	2	2014-12-03T20:21:54
520	2	2014-12-03T20:21:54
521	6	2014-12-03T20:22:47
522	6	2014-12-03T20:23:10
523	6	2014-12-03T20:24:46
524	6	2014-12-03T20:24:46
525	6	2014-12-03T20:26:54
526	0	2014-12-03T20:27:35
527	0	2014-12-03T20:27:35
528	1	2014-12-03T20:28:15
529	6	2014-12-03T20:28:19
530	6	2014-12-03T20:28:19
531	6	2014-12-03T20:29:01
532	6	2014-12-03T20:29:04
533	6	2014-12-03T20:29:27
534	6	2014-12-03T20:30:25
535	6	2014-12-03T20:34:12
536	0	2014-12-03T20:34:13
537	6	2014-12-03T20:34:43
538	2	2014-12-03T20:34:50
539	1	2014-12-03T20:37:15
540	3	2014-12-03T20:37:51
541	3	2014-12-03T20:37:51
542	6	2014-12-03T20:39:40
543	1	2014-12-03T20:40:12
544	6	2014-12-03T20:40:21
545	6	2014-12-03T20:41:38
546	6	2014-12-03T20:42:10
547	6	2014-12-03T20:43:51
548	6	2014-12-03T20:44:32
549	6	2014-12-03T20:46:09
550	3	2014-12-03T20:46:20
551	3	2014-12-03T20:46:20
552	6	2014-12-03T20:46:37
553	6	2014-12-03T20:46:37
554	6	2014-12-03T20:47:01
555	6	2014-12-03T20:47:23
556	6	2014-12-03T20:48:04
557	6	2014-12-03T20:48:04
558	6	2014-12-03T20:48:48
559	6	2014-12-03T20:49:16
560	1	2014-12-03T20:49:45
561	6	2014-12-03T20:51:12
562	1	2014-12-03T20:52:52
563	4	2014-12-03T20:53:06
564	2	2014-12-03T20:53:25
565	2	2014-12-03T20:53:25
566	2	2014-12-03T20:53:25
567	6	2014-12-03T20:53:35
568	6	2014-12-03T20:53:35
569	6	2014-12-03T20:53:53
570	6	2014-12-03T20:56:18
571	6	2014-12-03T20:58:29
572	5	2014-12-03T20:59:36
573	6	2014-12-03T21:00:56
574	6	2014-12-03T21:01:04
575	0	2014-12-03T21:01:32
576	0	2014-12-03T21:01:32
577	0	2014-12-03T21:01:32
578	6	2014-12-03T21:01:37
579	0	2014-12-03T21:01:44
580	0	2014-12-03T21:01:44
581	0	2014-12-03T21:01:44
582	6	2014-12-03T21:05:15
583	4	2014-12-03T21:06:20
584	1	2014-12-03T21:08:25
585	6	2014-12-03T21:10:45
586	6	2014-12-03T21:12:55
587	1	2014-12-03T21:12:56
588	1	2014-12-03T21:12:56
589	6	2014-12-03T21:13:11
590	6	2014-12-03T21:13:55
591	6	2014-12-03T21:13:55
592	6	2014-12-03T21:14:48
593	3	2014-12-03T21:14:55
594	6	2014-12-03T21:15:32
595	6	2014-12-03T21:17:08
596	5	2014-12-03T21:17:15
597	6	2014-12-03T21:17:17
598	6	2014-12-03T21:17:23
599	3	2014-12-03T21:18:16
600	3	2014-12-03T21:19:11
601	6	2014-12-03T21:19:14
602	6	2014-12-03T21:20:07
603	5	2014-12-03T21:20:25
604	1	2014-12-03T21:21:08
605	1	2014-12-03T21:21:08
606	6	2014-12-03T21:21:31
607	6	2014-12-03T21:21:34
608	6	2014-12-03T21:22:31
609	6	2014-12-03T21:23:31
610	6	2014-12-03T21:23:55
611	0	2014-12-03T21:23:58
612	6	2014-12-03T21:24:15
613	1	2014-12-03T21:25:14
614	6	2014-12-03T21:25:25
615	6	2014-12-03T21:26:05
616	6	2014-12-03T21:27:03
617	6	2014-12-03T21:27:54
618	6	2014-12-03T21:28:37
619	6	2014-12-03T21:28:57
620	6	2014-12-03T21:29:11
621	6	2014-12-03T21:29:49
622	6	2014-12-03T21:29:49
623	1	2014-12-03T21:30:59
624	6	2014-12-03T21:31:38
625	0	2014-12-03T21:32:11
626	6	2014-12-03T21:36:41
627	6	2014-12-03T21:38:46
628	6	2014-12-03T21:40:10
629	6	2014-12-03T21:42:10
630	0	2014-12-03T21:43:38
631	0	2014-12-03T21:43:38
632	6	2014-12-03T21:43:49
633	2	2014-12-03T21:44:24
634	2	2014-12-03T21:44:24
635	1	2014-12-03T21:46:10
636	4	2014-12-03T21:47:01
637	0	2014-12-03T21:47:08
638	6	2014-12-03T21:48:08
639	6	2014-12-03T21:48:08
640	6	2014-12-03T22:01:38
641	5	2014-12-03T21:51:25
642	6	2014-12-03T21:52:28
643	0	2014-12-03T21:55:15
644	6	2014-12-03T21:55:35
645	6	2014-12-03T21:55:35
646	1	2014-12-03T22:02:24
647	6	2014-12-03T22:06:02
648	6	2014-12-03T22:07:24
649	6	2014-12-03T22:07:27
650	6	2014-12-03T22:10:29
651	6	2014-12-03T22:12:13
652	6	2014-12-03T22:12:40
653	6	2014-12-03T22:12:40
654	6	2014-12-03T22:12:40
655	6	2014-12-03T22:13:43
656	6	2014-12-03T22:16:07
657	6	2014-12-03T22:17:08
658	6	2014-12-03T22:17:55
659	6	2014-12-03T22:18:19
660	0	2014-12-03T22:24:27
661	0	2014-12-03T22:24:27
662	0	2014-12-03T22:24:27
663	0	2014-12-03T22:24:53
664	0	2014-12-03T22:24:53
665	0	2014-12-03T22:24:53
666	1	2014-12-03T22:25:32
667	1	2014-12-03T22:25:32
668	6	2014-12-03T22:27:31
669	6	2014-12-03T22:28:01
670	6	2014-12-03T22:28:01
671	6	2014-12-03T22:31:17
672	6	2014-12-03T22:31:18
673	6	2014-12-03T22:41:18
674	0	2014-12-03T22:33:40
675	6	2014-12-03T22:33:49
676	6	2014-12-03T22:35:58
677	6	2014-12-03T22:35:58
678	6	2014-12-03T22:36:37
679	6	2014-12-03T22:36:40
680	6	2014-12-03T22:43:44
681	6	2014-12-03T22:43:48
682	0	2014-12-03T22:47:53
683	6	2014-12-03T22:48:11
684	1	2014-12-03T22:48:17
685	1	2014-12-03T22:48:17
686	6	2014-12-03T22:52:02
687	6	2014-12-03T22:52:16
688	6	2014-12-03T22:55:07
689	6	2014-12-03T22:55:07
690	6	2014-12-03T22:56:05
691	1	2014-12-03T22:57:49
692	1	2014-12-03T22:58:36
693	1	2014-12-03T22:59:10
694	0	2014-12-03T23:06:33
695	6	2014-12-03T23:07:24
696	6	2014-12-03T23:10:18
697	6	2014-12-03T23:12:18
698	6	2014-12-03T23:13:07
699	6	2014-12-03T23:13:07
700	6	2014-12-03T23:13:17
701	6	2014-12-03T23:14:42
702	6	2014-12-03T23:15:11
703	6	2014-12-03T23:15:37
704	6	2014-12-03T23:16:54
705	6	2014-12-03T23:17:59
706	6	2014-12-03T23:19:18
707	0	2014-12-03T23:20:28
708	6	2014-12-03T23:21:15
709	0	2014-12-03T23:22:39
710	6	2014-12-03T23:23:49
711	6	2014-12-03T23:27:31
712	6	2014-12-03T23:28:04
713	6	2014-12-03T23:28:11
714	6	2014-12-03T23:29:00
715	6	2014-12-03T23:31:36
716	6	2014-12-03T23:32:51
717	6	2014-12-03T23:33:30
718	6	2014-12-03T23:33:49
719	6	2014-12-03T23:36:45
720	6	2014-12-03T23:44:33
721	6	2014-12-03T23:48:21
722	6	2014-12-03T23:48:42
723	6	2014-12-03T23:48:42
724	1	2014-12-03T23:50:23
725	6	2014-12-03T23:52:27
726	6	2014-12-03T23:54:11
727	6	2014-12-03T23:55:13
728	6	2014-12-03T23:55:31
729	6	2014-12-04T00:00:15
730	1	2014-12-04T00:01:42
731	6	2014-12-04T00:04:02
732	6	2014-12-04T00:05:57
733	6	2014-12-04T00:10:53
734	6	2014-12-04T00:13:23
735	6	2014-12-04T00:14:54
736	6	2014-12-04T00:14:54
737	6	2014-12-04T00:17:04
738	6	2014-12-04T00:19:33
739	6	2014-12-04T00:19:57
740	6	2014-12-04T00:20:13
741	6	2014-12-04T00:20:13
742	6	2014-12-04T00:27:52
743	6	2014-12-04T00:34:57
744	6	2014-12-04T00:38:52
745	6	2014-12-04T00:42:16
746	6	2014-12-04T00:47:22
747	6	2014-12-04T00:50:16
748	3	2014-12-04T02:16:22
749	6	2014-12-04T00:51:28
750	1	2014-12-04T00:52:27
751	6	2014-12-04T00:58:24
752	0	2014-12-04T02:12:26
753	5	2014-12-04T01:18:42
754	6	2014-12-04T01:24:54
755	6	2014-12-04T01:24:54
756	6	2014-12-04T01:29:20
757	6	2014-12-04T01:30:29
758	6	2014-12-04T01:32:23
759	6	2014-12-04T01:32:23
760	6	2014-12-04T01:32:23
761	6	2014-12-04T01:33:14
762	6	2014-12-04T01:40:02
763	6	2014-12-04T01:45:09
764	6	2014-12-04T01:52:26
765	6	2014-12-04T02:21:17
766	6	2014-12-04T02:30:58
767	6	2014-12-04T02:31:21
768	6	2014-12-04T02:44:38
769	6	2014-12-04T02:45:18
770	6	2014-12-04T02:53:57
771	2	2014-12-04T02:57:17
772	6	2014-12-04T03:40:58
773	6	2014-12-04T03:52:47
774	1	2014-12-04T04:14:40
775	0	2014-12-04T04:42:34
776	6	2014-12-04T04:45:07
777	6	2014-12-04T05:25:02
778	6	2014-12-04T05:38:50
779	5	2014-12-04T05:40:50
780	6	2014-12-04T06:28:56
781	6	2014-12-04T06:30:27
782	6	2014-12-04T07:00:44
783	0	2014-12-04T07:01:57
784	6	2014-12-04T07:02:20
785	6	2014-12-04T07:16:09
786	6	2014-12-04T07:28:10
787	6	2014-12-04T07:34:59
788	6	2014-12-04T07:39:10
789	6	2014-12-04T07:46:22
790	6	2014-12-04T07:46:22
791	2	2014-12-04T08:03:00
792	2	2014-12-04T08:03:00
793	6	2014-12-04T08:28:26
794	6	2014-12-04T08:47:19
795	6	2014-12-04T08:51:47
796	0	2014-12-04T08:55:30
797	6	2014-12-04T09:08:55
798	0	2014-12-04T09:34:28
799	1	2014-12-04T09:09:13
800	0	2014-12-04T09:09:27
801	6	2014-12-04T09:15:35
802	0	2014-12-04T09:33:53
803	6	2014-12-04T09:40:07
804	6	2014-12-04T09:47:53
805	6	2014-12-04T09:52:27
806	6	2014-12-04T10:06:19
807	6	2014-12-04T10:15:16
808	6	2014-12-04T10:15:16
809	6	2014-12-04T10:18:45
810	6	2014-12-04T10:35:07
811	6	2014-12-04T10:39:48
812	6	2014-12-04T10:52:54
813	6	2014-12-04T10:58:46
814	0	2014-12-04T11:04:43
815	0	2014-12-04T11:04:43
816	6	2014-12-04T11:04:52
817	6	2014-12-04T11:06:54
818	6	2014-12-04T11:07:58
819	6	2014-12-04T11:07:58
820	6	2014-12-04T11:13:29
821	6	2014-12-04T11:19:48
