ntwort ID	Datum Abgeschickt	Letzte Seite	Datum gestartet
135	2013-12-23T11:54:59	6	2013-12-23T11:35:26
136	2013-12-23T11:47:50	6	2013-12-23T11:38:09
137	2013-12-23T11:48:58	6	2013-12-23T11:40:14
138	2013-12-23T11:48:22	6	2013-12-23T11:41:18
139		1	2013-12-23T11:45:21
140	2013-12-23T12:04:01	6	2013-12-23T11:50:34
146	2013-12-23T12:16:26	6	2013-12-23T12:00:58
142		0	2013-12-23T11:54:25
143		0	2013-12-23T11:54:48
144		0	2013-12-23T11:55:16
145	2013-12-23T12:08:42	6	2013-12-23T11:55:45
147	2013-12-23T12:10:21	6	2013-12-23T12:00:59
148	2013-12-23T12:16:35	6	2013-12-23T12:01:02
149	2013-12-23T12:18:28	6	2013-12-23T12:08:03
150	2013-12-23T12:23:42	6	2013-12-23T12:14:47
152	2013-12-23T12:31:43	6	2013-12-23T12:23:47
153	2013-12-23T12:35:45	6	2013-12-23T12:25:51
154	2013-12-23T12:44:27	6	2013-12-23T12:35:02
155	2013-12-23T12:50:46	6	2013-12-23T12:38:38
156	2013-12-23T12:52:04	6	2013-12-23T12:39:30
157	2013-12-23T12:48:36	6	2013-12-23T12:40:32
158		0	2013-12-23T12:44:04
159		0	2013-12-23T12:44:40
160	2013-12-23T13:23:36	6	2013-12-23T13:00:27
161	2013-12-23T13:14:10	6	2013-12-23T13:03:04
162		2	2013-12-23T13:04:34
163	2013-12-23T13:19:11	6	2013-12-23T13:07:23
164	2013-12-23T13:27:13	6	2013-12-23T13:12:44
165	2013-12-23T13:35:09	6	2013-12-23T13:22:57
166	2013-12-23T13:33:47	6	2013-12-23T13:24:17
167	2013-12-23T13:36:07	6	2013-12-23T13:26:00
168	2013-12-23T13:52:08	6	2013-12-23T13:26:30
169	2013-12-23T14:02:31	6	2013-12-23T13:27:28
170	2013-12-23T13:44:38	6	2013-12-23T13:30:47
171	2013-12-23T13:41:37	6	2013-12-23T13:31:26
172	2013-12-23T13:43:05	6	2013-12-23T13:32:24
173	2013-12-23T13:48:52	6	2013-12-23T13:37:46
174	2013-12-23T13:45:24	6	2013-12-23T13:39:20
175	2013-12-23T14:21:05	6	2013-12-23T13:39:59
176	2013-12-23T13:59:49	6	2013-12-23T13:44:05
180	2013-12-23T14:14:56	6	2013-12-23T14:05:46
178		0	2013-12-23T13:56:48
179		1	2013-12-23T13:59:40
181	2013-12-23T14:33:34	6	2013-12-23T14:12:07
182	2013-12-23T14:30:51	6	2013-12-23T14:15:08
184	2013-12-23T14:29:13	6	2013-12-23T14:19:11
185		2	2013-12-23T14:36:53
186		5	2013-12-23T15:03:21
187	2013-12-23T15:22:54	6	2013-12-23T15:03:26
188		1	2013-12-23T15:13:43
189	2013-12-23T15:36:26	6	2013-12-23T15:19:02
190	2013-12-23T15:51:45	6	2013-12-23T15:37:48
191	2013-12-23T16:15:51	6	2013-12-23T16:03:28
192	2013-12-23T16:29:41	6	2013-12-23T16:14:03
193	2013-12-23T16:30:03	6	2013-12-23T16:14:48
194	2013-12-23T16:50:03	6	2013-12-23T16:39:07
195	2013-12-23T16:55:29	6	2013-12-23T16:47:34
196		5	2013-12-23T17:03:46
197		1	2013-12-23T17:15:50
198	2013-12-23T17:26:42	6	2013-12-23T17:15:50
199	2013-12-23T17:28:06	6	2013-12-23T17:20:29
200	2013-12-23T17:28:58	6	2013-12-23T17:23:22
201		0	2013-12-23T17:35:13
202	2013-12-23T17:47:55	6	2013-12-23T17:39:00
203	2013-12-23T17:48:33	6	2013-12-23T17:39:10
204	2013-12-23T17:59:05	6	2013-12-23T17:51:14
205	2013-12-23T18:13:53	6	2013-12-23T18:01:19
206	2013-12-23T18:12:07	6	2013-12-23T18:01:28
209	2013-12-23T18:37:04	6	2013-12-23T18:27:31
208		1	2013-12-23T18:23:10
210	2013-12-23T18:42:58	6	2013-12-23T18:35:18
211	2013-12-23T18:50:54	6	2013-12-23T18:35:36
212	2013-12-23T18:55:03	6	2013-12-23T18:39:11
213	2013-12-23T18:56:34	6	2013-12-23T18:43:08
214	2013-12-23T19:22:14	6	2013-12-23T19:16:26
215		0	2013-12-23T19:28:53
216	2013-12-23T20:01:11	6	2013-12-23T19:47:50
217	2013-12-23T19:55:07	6	2013-12-23T19:50:00
218	2013-12-23T20:42:56	6	2013-12-23T20:36:46
219		0	2013-12-23T20:59:44
220	2013-12-23T21:20:12	6	2013-12-23T21:02:18
221	2013-12-23T21:11:04	6	2013-12-23T21:02:33
222		0	2013-12-23T21:02:47
223		1	2013-12-23T21:03:26
224		1	2013-12-23T21:05:57
225		0	2013-12-23T21:10:59
226	2013-12-23T21:20:25	6	2013-12-23T21:12:34
227	2013-12-23T21:23:05	6	2013-12-23T21:12:44
228	2013-12-23T21:30:48	6	2013-12-23T21:14:24
229	2013-12-23T21:24:55	6	2013-12-23T21:15:17
230	2013-12-23T21:28:25	6	2013-12-23T21:15:38
231		1	2013-12-23T21:19:44
232	2013-12-23T21:42:48	6	2013-12-23T21:29:58
233	2013-12-23T21:42:33	6	2013-12-23T21:30:37
234	2013-12-23T22:31:03	6	2013-12-23T21:35:26
235		0	2013-12-23T21:42:02
236	2013-12-23T22:10:35	6	2013-12-23T22:01:07
237		0	2013-12-23T22:02:33
238		0	2013-12-23T22:09:11
239	2013-12-23T22:50:55	6	2013-12-23T22:22:45
240	2013-12-23T22:39:33	6	2013-12-23T22:22:45
241	2013-12-23T22:36:26	6	2013-12-23T22:22:46
242		2	2013-12-23T22:22:47
243	2013-12-23T23:13:34	6	2013-12-23T22:22:47
244	2013-12-23T22:33:48	6	2013-12-23T22:22:47
245	2013-12-23T22:42:33	6	2013-12-23T22:22:49
246		1	2013-12-23T22:22:49
247	2013-12-23T22:46:19	6	2013-12-23T22:22:50
248	2013-12-23T22:35:02	6	2013-12-23T22:22:50
249		0	2013-12-23T22:22:52
250	2013-12-23T22:34:39	6	2013-12-23T22:22:52
251	2013-12-23T22:34:47	6	2013-12-23T22:22:53
252	2013-12-23T22:51:17	6	2013-12-23T22:22:57
253		0	2013-12-23T22:22:57
254	2013-12-23T22:30:06	6	2013-12-23T22:22:58
255	2013-12-23T22:30:58	6	2013-12-23T22:22:58
256	2013-12-23T22:34:29	6	2013-12-23T22:22:59
257	2013-12-23T22:30:58	6	2013-12-23T22:23:00
258	2013-12-23T22:48:58	6	2013-12-23T22:23:00
259	2013-12-23T22:31:59	6	2013-12-23T22:23:00
260	2013-12-23T22:34:19	6	2013-12-23T22:23:00
261	2013-12-23T22:34:14	6	2013-12-23T22:23:01
262	2013-12-23T22:41:17	6	2013-12-23T22:23:03
263	2013-12-23T22:39:10	6	2013-12-23T22:23:04
264	2013-12-23T22:32:50	6	2013-12-23T22:23:04
265	2013-12-23T22:32:27	6	2013-12-23T22:23:05
266	2013-12-23T22:35:20	6	2013-12-23T22:23:05
267		1	2013-12-23T22:23:06
268	2013-12-23T22:36:37	6	2013-12-23T22:23:06
269	2013-12-23T22:33:28	6	2013-12-23T22:23:06
270	2013-12-23T22:43:50	6	2013-12-23T22:23:07
271	2013-12-23T23:00:26	6	2013-12-23T22:23:09
272	2013-12-23T22:38:38	6	2013-12-23T22:23:09
273		1	2013-12-23T22:23:10
274	2013-12-23T22:34:06	6	2013-12-23T22:23:11
275	2013-12-23T22:39:14	6	2013-12-23T22:23:12
276	2013-12-23T22:37:14	6	2013-12-23T22:23:13
277	2013-12-23T22:31:57	6	2013-12-23T22:23:14
278		2	2013-12-23T22:23:15
279	2013-12-23T22:40:28	6	2013-12-23T22:23:17
280		0	2013-12-23T22:23:17
281	2013-12-23T22:38:32	6	2013-12-23T22:23:17
282		5	2013-12-23T22:23:17
283	2013-12-23T22:32:07	6	2013-12-23T22:23:18
284	2013-12-23T22:38:28	6	2013-12-23T22:23:20
285	2013-12-23T22:35:27	6	2013-12-23T22:23:20
286		1	2013-12-23T22:23:20
287		2	2013-12-23T22:23:20
288		0	2013-12-23T22:23:22
289	2013-12-23T22:33:26	6	2013-12-23T22:23:23
290	2013-12-23T22:32:56	6	2013-12-23T22:23:23
291	2013-12-23T22:56:52	6	2013-12-23T22:23:25
292	2013-12-23T22:33:20	6	2013-12-23T22:23:25
293	2013-12-23T22:37:57	6	2013-12-23T22:23:26
294		2	2013-12-23T22:23:27
295	2013-12-23T22:33:08	6	2013-12-23T22:23:27
296		0	2013-12-23T22:23:29
297	2013-12-23T23:01:35	6	2013-12-23T22:23:30
298	2013-12-23T22:53:09	6	2013-12-23T22:23:32
299	2013-12-23T22:37:18	6	2013-12-23T22:23:33
300		3	2013-12-23T22:23:36
302		1	2013-12-23T22:23:40
303	2013-12-23T22:44:35	6	2013-12-23T22:23:40
304	2013-12-23T22:39:34	6	2013-12-23T22:23:40
305	2013-12-23T22:55:47	6	2013-12-23T22:23:41
306		2	2013-12-23T22:23:45
307		4	2013-12-23T22:23:46
308	2013-12-23T22:31:52	6	2013-12-23T22:23:50
309	2013-12-23T23:15:00	6	2013-12-23T22:23:52
310	2013-12-23T22:36:03	6	2013-12-23T22:23:53
311		1	2013-12-23T22:23:53
312	2013-12-23T22:35:48	6	2013-12-23T22:23:54
313	2013-12-23T22:37:39	6	2013-12-23T22:23:56
314	2013-12-23T22:48:46	6	2013-12-23T22:23:59
315	2013-12-23T23:00:16	6	2013-12-23T22:24:00
316		1	2013-12-23T22:24:04
317	2013-12-23T22:37:34	6	2013-12-23T22:24:06
318	2013-12-23T22:33:30	6	2013-12-23T22:24:07
319	2013-12-23T22:38:52	6	2013-12-23T22:24:11
320	2013-12-23T22:45:07	6	2013-12-23T22:24:11
321	2013-12-23T22:36:39	6	2013-12-23T22:24:13
322	2013-12-23T22:46:29	6	2013-12-23T22:24:15
323	2013-12-23T22:55:29	6	2013-12-23T22:24:17
324	2013-12-23T22:43:29	6	2013-12-23T22:24:17
325	2013-12-23T22:34:49	6	2013-12-23T22:24:20
357	2013-12-23T22:58:25	6	2013-12-23T22:29:33
327	2013-12-23T22:47:05	6	2013-12-23T22:24:22
328	2013-12-23T22:36:52	6	2013-12-23T22:24:25
329	2013-12-23T22:44:09	6	2013-12-23T22:24:28
330	2013-12-23T22:43:10	6	2013-12-23T22:24:30
331	2013-12-23T22:33:18	6	2013-12-23T22:24:48
333	2013-12-23T22:35:56	6	2013-12-23T22:25:02
334	2013-12-23T22:42:13	6	2013-12-23T22:25:10
335	2013-12-23T22:45:51	6	2013-12-23T22:25:13
336		1	2013-12-23T22:25:17
337	2013-12-23T22:40:43	6	2013-12-23T22:25:18
338	2013-12-23T22:52:41	6	2013-12-23T22:25:30
339	2013-12-23T22:35:51	6	2013-12-23T22:25:34
340	2013-12-23T22:43:08	6	2013-12-23T22:25:35
341	2013-12-23T22:34:12	6	2013-12-23T22:25:41
342		1	2013-12-23T22:25:56
343	2013-12-23T22:38:56	6	2013-12-23T22:26:09
344	2013-12-23T23:20:20	6	2013-12-23T22:26:16
345		0	2013-12-23T22:26:19
346	2013-12-23T22:52:28	6	2013-12-23T22:27:23
347	2013-12-23T22:40:28	6	2013-12-23T22:27:27
348		1	2013-12-23T22:27:29
349	2013-12-23T22:51:47	6	2013-12-23T22:27:40
350	2013-12-23T22:36:27	6	2013-12-23T22:27:46
351	2013-12-23T22:36:41	6	2013-12-23T22:27:49
352	2013-12-23T22:44:04	6	2013-12-23T22:27:58
353	2013-12-23T22:36:22	6	2013-12-23T22:27:59
354	2013-12-23T22:36:22	6	2013-12-23T22:28:06
355		1	2013-12-23T22:29:01
356	2013-12-23T22:39:28	6	2013-12-23T22:29:17
358		0	2013-12-23T22:31:26
359	2013-12-23T22:52:02	6	2013-12-23T22:32:23
360	2013-12-23T23:01:13	6	2013-12-23T22:32:34
361		0	2013-12-23T22:32:38
362	2013-12-23T22:47:34	6	2013-12-23T22:33:23
363	2013-12-23T22:42:16	6	2013-12-23T22:33:44
364		1	2013-12-23T22:33:45
365		1	2013-12-23T22:34:47
366	2013-12-23T22:47:14	6	2013-12-23T22:35:39
367	2013-12-23T22:43:56	6	2013-12-23T22:35:44
368	2013-12-23T22:55:11	6	2013-12-23T22:35:50
369		1	2013-12-23T22:37:47
370	2013-12-23T22:47:07	6	2013-12-23T22:37:50
371	2013-12-23T22:47:59	6	2013-12-23T22:40:00
372	2013-12-23T22:51:54	6	2013-12-23T22:40:29
373		4	2013-12-23T22:40:46
374	2013-12-23T22:50:07	6	2013-12-23T22:40:56
375		0	2013-12-23T22:42:14
376	2013-12-23T23:25:25	6	2013-12-23T22:42:47
377	2013-12-23T23:26:08	6	2013-12-23T22:43:03
378	2013-12-23T23:12:24	6	2013-12-23T22:43:09
379	2013-12-23T22:56:55	6	2013-12-23T22:44:43
380	2013-12-23T23:04:08	6	2013-12-23T22:45:29
381	2013-12-23T22:54:44	6	2013-12-23T22:45:48
382	2013-12-23T23:23:56	6	2013-12-23T22:46:47
383		4	2013-12-23T22:50:22
384	2013-12-23T23:03:52	6	2013-12-23T22:50:24
385	2013-12-23T23:03:55	6	2013-12-23T22:50:28
386		1	2013-12-23T22:51:25
387	2013-12-23T23:04:20	6	2013-12-23T22:51:58
388	2013-12-23T23:02:09	6	2013-12-23T22:52:05
389	2013-12-23T23:49:38	6	2013-12-23T22:54:11
390	2013-12-23T23:23:13	6	2013-12-23T22:55:21
391	2013-12-23T23:03:12	6	2013-12-23T22:55:24
392	2013-12-23T23:31:33	6	2013-12-23T22:56:14
393	2013-12-23T23:16:03	6	2013-12-23T22:56:35
394		0	2013-12-23T22:56:45
395	2013-12-23T23:05:55	6	2013-12-23T22:56:50
396	2013-12-23T23:11:01	6	2013-12-23T22:58:49
397	2013-12-23T23:22:16	6	2013-12-23T22:59:36
398	2013-12-23T23:27:12	6	2013-12-23T23:00:32
399	2013-12-23T23:16:57	6	2013-12-23T23:02:33
400		4	2013-12-23T23:04:48
401	2013-12-23T23:15:40	6	2013-12-23T23:06:41
402		0	2013-12-23T23:07:49
403	2013-12-23T23:18:35	6	2013-12-23T23:08:19
404	2013-12-23T23:17:13	6	2013-12-23T23:09:19
406	2013-12-23T23:28:10	6	2013-12-23T23:14:10
407	2013-12-23T23:33:46	6	2013-12-23T23:14:46
408	2013-12-23T23:27:10	6	2013-12-23T23:15:12
409		0	2013-12-23T23:18:40
410		0	2013-12-23T23:18:53
413	2013-12-23T23:44:36	6	2013-12-23T23:21:28
411	2013-12-23T23:40:21	6	2013-12-23T23:20:16
412	2013-12-23T23:42:12	6	2013-12-23T23:21:17
414	2013-12-23T23:40:18	6	2013-12-23T23:25:06
415	2013-12-23T23:37:26	6	2013-12-23T23:25:10
416	2013-12-23T23:40:09	6	2013-12-23T23:26:08
417		0	2013-12-23T23:30:10
418	2013-12-23T23:44:50	6	2013-12-23T23:30:49
419	2013-12-23T23:40:43	6	2013-12-23T23:31:39
420	2013-12-23T23:43:27	6	2013-12-23T23:32:20
421		0	2013-12-23T23:33:52
422	2013-12-23T23:44:30	6	2013-12-23T23:33:59
423	2013-12-24T00:19:39	6	2013-12-23T23:34:04
424	2013-12-24T00:03:05	6	2013-12-23T23:34:28
425	2013-12-23T23:51:01	6	2013-12-23T23:34:54
426	2013-12-23T23:48:47	6	2013-12-23T23:36:58
427	2013-12-23T23:47:57	6	2013-12-23T23:37:36
428	2013-12-23T23:46:00	6	2013-12-23T23:38:25
429		2	2013-12-23T23:40:31
430	2013-12-23T23:53:27	6	2013-12-23T23:40:49
431	2013-12-24T00:05:14	6	2013-12-23T23:40:52
432		1	2013-12-23T23:42:47
433	2013-12-23T23:55:30	6	2013-12-23T23:43:41
434	2013-12-23T23:57:54	6	2013-12-23T23:46:31
435	2013-12-24T00:01:04	6	2013-12-23T23:47:59
436		0	2013-12-23T23:48:13
437	2013-12-24T00:04:32	6	2013-12-23T23:48:51
438		1	2013-12-23T23:48:56
439		0	2013-12-23T23:49:09
440	2013-12-24T00:03:28	6	2013-12-23T23:49:34
441	2013-12-24T00:02:44	6	2013-12-23T23:50:59
442	2013-12-24T00:06:39	6	2013-12-23T23:51:56
443		0	2013-12-23T23:52:08
444	2013-12-24T00:14:30	6	2013-12-23T23:52:44
445	2013-12-24T00:12:12	6	2013-12-23T23:54:46
446	2013-12-24T00:13:15	6	2013-12-23T23:56:05
447		2	2013-12-23T23:58:16
448	2013-12-24T00:17:36	6	2013-12-23T23:58:30
449	2013-12-24T00:13:24	6	2013-12-23T23:59:20
450	2013-12-24T00:08:33	6	2013-12-23T23:59:34
451	2013-12-24T00:22:17	6	2013-12-23T23:59:48
452	2013-12-24T00:15:16	6	2013-12-23T23:59:58
453	2013-12-24T00:09:33	6	2013-12-24T00:03:01
454	2013-12-24T00:13:36	6	2013-12-24T00:04:25
455	2013-12-24T00:13:02	6	2013-12-24T00:06:05
456	2013-12-24T00:18:25	6	2013-12-24T00:06:46
457		1	2013-12-24T00:14:35
458	2013-12-24T01:06:29	6	2013-12-24T00:16:18
459	2013-12-24T00:31:32	6	2013-12-24T00:25:37
460	2013-12-24T00:39:28	6	2013-12-24T00:25:45
461	2013-12-24T00:38:39	6	2013-12-24T00:26:10
462		1	2013-12-24T00:29:59
463	2013-12-24T00:50:13	6	2013-12-24T00:33:06
465	2013-12-24T00:51:38	6	2013-12-24T00:33:12
466	2013-12-24T00:51:52	6	2013-12-24T00:36:42
467	2013-12-24T01:00:05	6	2013-12-24T00:46:13
468	2013-12-24T01:05:23	6	2013-12-24T00:46:55
469		0	2013-12-24T00:51:05
470	2013-12-24T01:07:52	6	2013-12-24T00:52:06
471	2013-12-24T01:07:58	6	2013-12-24T00:56:42
472	2013-12-24T01:32:14	6	2013-12-24T01:07:40
473	2013-12-24T01:26:06	6	2013-12-24T01:09:42
474	2013-12-24T01:31:30	6	2013-12-24T01:14:13
475	2013-12-24T01:35:04	6	2013-12-24T01:14:42
476	2013-12-24T01:36:22	6	2013-12-24T01:20:27
477		1	2013-12-24T01:22:40
478	2013-12-24T01:52:40	6	2013-12-24T01:23:21
479	2013-12-24T01:45:47	6	2013-12-24T01:27:19
481	2013-12-24T01:40:39	6	2013-12-24T01:28:10
482	2013-12-24T01:37:54	6	2013-12-24T01:30:07
483	2013-12-24T01:44:59	6	2013-12-24T01:31:28
484	2013-12-24T01:43:18	6	2013-12-24T01:31:52
485	2013-12-24T01:42:21	6	2013-12-24T01:33:11
486	2013-12-24T01:44:05	6	2013-12-24T01:34:18
487	2013-12-24T01:45:32	6	2013-12-24T01:35:14
488	2013-12-24T01:59:37	6	2013-12-24T01:35:49
489	2013-12-24T01:39:01	6	2013-12-24T01:38:05
490	2013-12-24T02:08:29	6	2013-12-24T01:38:29
491		4	2013-12-24T01:39:16
492	2013-12-24T01:53:58	6	2013-12-24T01:39:53
493	2013-12-24T01:56:38	6	2013-12-24T01:45:34
494	2013-12-24T02:15:11	6	2013-12-24T01:46:57
495	2013-12-24T02:19:42	6	2013-12-24T02:00:37
496	2013-12-24T02:12:11	6	2013-12-24T02:03:14
497	2013-12-24T02:50:24	6	2013-12-24T02:20:54
498		1	2013-12-24T02:28:01
499	2013-12-24T02:46:15	6	2013-12-24T02:32:57
500	2013-12-24T02:51:50	6	2013-12-24T02:36:29
501	2013-12-24T02:51:38	6	2013-12-24T02:37:33
502	2013-12-24T02:53:51	6	2013-12-24T02:43:38
503	2013-12-24T02:54:46	6	2013-12-24T02:46:18
504		1	2013-12-24T02:57:20
505	2013-12-24T03:20:52	6	2013-12-24T03:00:45
506		5	2013-12-24T03:01:36
507	2013-12-24T03:39:39	6	2013-12-24T03:30:15
508		2	2013-12-24T03:51:37
509	2013-12-24T04:19:51	6	2013-12-24T03:57:57
510	2013-12-24T04:26:25	6	2013-12-24T04:05:26
511	2013-12-24T05:15:27	6	2013-12-24T05:01:45
512	2013-12-24T05:26:11	6	2013-12-24T05:08:07
514		0	2013-12-24T06:08:47
515	2013-12-24T07:33:22	6	2013-12-24T07:22:58
516	2013-12-24T07:36:44	6	2013-12-24T07:26:17
517	2013-12-24T08:04:01	6	2013-12-24T07:53:18
518		0	2013-12-24T07:55:36
519	2013-12-24T08:30:08	6	2013-12-24T08:11:19
520	2013-12-24T08:48:08	6	2013-12-24T08:30:03
521	2013-12-24T08:47:47	6	2013-12-24T08:40:25
522	2013-12-24T08:48:32	6	2013-12-24T08:40:38
523	2013-12-24T08:54:25	6	2013-12-24T08:44:15
524	2013-12-24T09:34:15	6	2013-12-24T09:08:51
525	2013-12-24T09:23:56	6	2013-12-24T09:13:07
526	2013-12-24T09:38:23	6	2013-12-24T09:14:14
527		0	2013-12-24T09:15:50
528	2013-12-24T09:30:51	6	2013-12-24T09:15:58
529	2013-12-24T09:37:51	6	2013-12-24T09:28:28
530	2013-12-24T10:02:20	6	2013-12-24T09:36:04
531	2013-12-24T10:04:13	6	2013-12-24T09:38:28
532	2013-12-24T09:52:07	6	2013-12-24T09:40:08
533		2	2013-12-24T09:47:57
534		1	2013-12-24T09:54:29
535		1	2013-12-24T09:54:49
